
Year	Winning team	Manager	League	Games	Losing team	Manager	League	Ref.
1965	Los Angeles Dodgers	Walter Alston	NL	4–3	Minnesota Twins	Sam Mele	AL	[70]
1966	Baltimore Orioles	Hank Bauer	AL	4–0	Los Angeles Dodgers	Walter Alston	NL	[71]
1967	St. Louis Cardinals	Red Schoendienst	NL	4–3	Boston Red Sox	Dick Williams	AL	[72]
1968	Detroit Tigers	Mayo Smith	AL	4–3	St. Louis Cardinals	Red Schoendienst	NL	[73]
1969	New York Mets[X]	Gil Hodges	NL	4–1	Baltimore Orioles	Earl Weaver	AL	[74]
1970	Baltimore Orioles	Earl Weaver	AL	4–1	Cincinnati Reds	Sparky Anderson	NL	[75]
1971	Pittsburgh Pirates	Danny Murtaugh	NL	4–3	Baltimore Orioles	Earl Weaver	AL	[76]
1972	Oakland Athletics	Dick Williams	AL	4–3	Cincinnati Reds	Sparky Anderson	NL	[77]
1973	Oakland Athletics	Dick Williams	AL	4–3	New York Mets[X]	Yogi Berra	NL	[78]
1974	Oakland Athletics	Alvin Dark	AL	4–1	Los Angeles Dodgers	Walter Alston	NL	[79]
1975	Cincinnati Reds	Sparky Anderson	NL	4–3	Boston Red Sox	Darrell Johnson	AL	[80]
1976	Cincinnati Reds	Sparky Anderson	NL	4–0	New York Yankees	Billy Martin	AL	[81]
1977	New York Yankees	Billy Martin	AL	4–2	Los Angeles Dodgers	Tom Lasorda	NL	[82]
1978	New York Yankees	Bob Lemon	AL	4–2	Los Angeles Dodgers	Tom Lasorda	NL	[83]
1979	Pittsburgh Pirates	Chuck Tanner	NL	4–3	Baltimore Orioles	Earl Weaver	AL	[84]
1980	Philadelphia Phillies	Dallas Green	NL	4–2	Kansas City Royals[X]	Jim Frey	AL	[85]
1981	Los Angeles Dodgers	Tom Lasorda	NL	4–2	New York Yankees	Bob Lemon	AL	[86]
1982	St. Louis Cardinals	Whitey Herzog	NL	4–3	Milwaukee Brewers[X]	Harvey Kuenn	AL[L1]	[87]
1983	Baltimore Orioles	Joe Altobelli	AL	4–1	Philadelphia Phillies	Paul Owens	NL	[88]
1984	Detroit Tigers	Sparky Anderson	AL	4–1	San Diego Padres[X]	Dick Williams	NL	[89]
1985	Kansas City Royals[X]	Dick Howser	AL	4–3	St. Louis Cardinals	Whitey Herzog	NL	[90]
1986	New York Mets[X]	Davey Johnson	NL	4–3	Boston Red Sox	John McNamara	AL	[91]
1987	Minnesota Twins	Tom Kelly	AL	4–3	St. Louis Cardinals	Whitey Herzog	NL	[92]
1988	Los Angeles Dodgers	Tom Lasorda	NL	4–1	Oakland Athletics	Tony La Russa	AL	[93]
1989	Oakland Athletics	Tony La Russa	AL	4–0	San Francisco Giants	Roger Craig	NL	[94]
1990	Cincinnati Reds	Lou Piniella	NL	4–0	Oakland Athletics	Tony La Russa	AL	[95]
1991	Minnesota Twins	Tom Kelly	AL	4–3	Atlanta Braves	Bobby Cox	NL	[96]
1992	Toronto Blue Jays[X]	Cito Gaston	AL	4–2	Atlanta Braves	Bobby Cox	NL	[97]
1993	Toronto Blue Jays[X]	Cito Gaston	AL	4–2	Philadelphia Phillies	Jim Fregosi	NL	[98]
1994	No World Series	—	—	—	—	—	—	[1]
1995	Atlanta Braves	Bobby Cox	NL	4–2	Cleveland Indians	Mike Hargrove	AL	[99]
1996	New York Yankees	Joe Torre	AL	4–2	Atlanta Braves	Bobby Cox	NL	[100]
1997	Florida Marlins[W][X]	Jim Leyland	NL	4–3	Cleveland Indians	Mike Hargrove	AL	[101]
1998	New York Yankees	Joe Torre	AL	4–0	San Diego Padres[X]	Bruce Bochy	NL	[102]
1999	New York Yankees	Joe Torre	AL	4–0	Atlanta Braves	Bobby Cox	NL	[103]
2000	New York Yankees	Joe Torre	AL	4–1	New York Mets[W][X]	Bobby Valentine	NL	[104]
2001	Arizona Diamondbacks[X]	Bob Brenly	NL	4–3	New York Yankees	Joe Torre	AL	[105]
2002	Anaheim Angels[W][X]	Mike Scioscia	AL	4–3	San Francisco Giants[W]	Dusty Baker	NL	[106]
